Metal A,Conc A,Metal B,Conc B,PS,TEOA,DMSO,Max H,Type
Bi,0.0,Mo,0.0,,,,0.6302379307048785,time series
Bi,0.04977272727272727,Mo,0.0,,,,0.585336937801675,time series
Bi,0.10022727272727272,Mo,0.0,,,,0.6876101633990046,time series
Bi,0.15,Mo,0.0,,,,0.8614804995116587,time series
Bi,0.1997727272727273,Mo,0.0,,,,0.9091388704256439,time series
Bi,0.25022727272727274,Mo,0.0,,,,0.7292315408590415,time series
Bi,0.3,Mo,0.0,,,,0.634197803283633,time series
Bi,0.34977272727272724,Mo,0.0,,,,0.7547069464156461,time series
Bi,0.40022727272727276,Mo,0.0,,,,0.4063851196697486,time series
Bi,0.4997727272727272,Mo,0.0,,,,0.7392064322994121,time series
Bi,0.6,Mo,0.0,,,,0.8396900420498123,time series
Bi,0.6497727272727272,Mo,0.0,,,,1.474061528388987,time series
Bi,0.0,Mo,0.10022727272727272,,,,0.4845650418740253,time series
Bi,0.04977272727272727,Mo,0.10022727272727272,,,,0.2355614038543309,time series
Bi,0.10022727272727272,Mo,0.10022727272727272,,,,0.27243374618449867,time series
Bi,0.15,Mo,0.10022727272727272,,,,0.03811064594759744,time series
Bi,0.1997727272727273,Mo,0.10022727272727272,,,,0.18934501127361644,time series
Bi,0.25022727272727274,Mo,0.10022727272727272,,,,0.13112121935853913,time series
Bi,0.3,Mo,0.10022727272727272,,,,0.5933477460154495,time series
Bi,0.34977272727272724,Mo,0.10022727272727272,,,,0.11744823358522989,time series
Bi,0.40022727272727276,Mo,0.10022727272727272,,,,0.1958286347977441,time series
Bi,0.4997727272727272,Mo,0.10022727272727272,,,,0.4846702965966902,time series
Bi,0.6,Mo,0.10022727272727272,,,,0.10465491660924611,time series
Bi,0.6497727272727272,Mo,0.10022727272727272,,,,0.47565830710599893,time series
Bi,0.0,Mo,0.1997727272727273,,,,0.0,time series
Bi,0.04977272727272727,Mo,0.1997727272727273,,,,0.0,time series
Bi,0.10022727272727272,Mo,0.1997727272727273,,,,0.14819092334294123,time series
Bi,0.15,Mo,0.1997727272727273,,,,0.12763367042966087,time series
Bi,0.1997727272727273,Mo,0.1997727272727273,,,,0.057849024126474184,time series
Bi,0.25022727272727274,Mo,0.1997727272727273,,,,0.8047836568773215,time series
Bi,0.3,Mo,0.1997727272727273,,,,0.8970328569150217,time series
Bi,0.34977272727272724,Mo,0.1997727272727273,,,,0.0,time series
Bi,0.40022727272727276,Mo,0.1997727272727273,,,,0.24177716728249954,time series
Bi,0.4997727272727272,Mo,0.1997727272727273,,,,0.12091443107037594,time series
Bi,0.6,Mo,0.1997727272727273,,,,0.49144618347904206,time series
Bi,0.6497727272727272,Mo,0.1997727272727273,,,,0.0,time series
Bi,0.0,Mo,0.3,,,,1.3755972910200784,time series
Bi,0.04977272727272727,Mo,0.3,,,,0.5293462225053496,time series
Bi,0.10022727272727272,Mo,0.3,,,,0.1990754064126643,time series
Bi,0.15,Mo,0.3,,,,1.2405772886244621,time series
Bi,0.1997727272727273,Mo,0.3,,,,1.088472151567781,time series
Bi,0.25022727272727274,Mo,0.3,,,,3.504827094496406,time series
Bi,0.3,Mo,0.3,,,,0.7965873633060206,time series
Bi,0.34977272727272724,Mo,0.3,,,,1.1888792313470018,time series
Bi,0.40022727272727276,Mo,0.3,,,,0.4792987219595924,time series
Bi,0.4997727272727272,Mo,0.3,,,,0.8064271740465104,time series
